Mask value ; Group I ; Group II ; Group III ; Group IV ; Group V ; Group VI ; Group VII ; Group VIII ; Group IX ; Group X ; Group XI ; Group XII ; Group XIII ;
000000|0|1|0 ; - ; 52.49 ; 33.41 ; 2.49 ; - ; - ; - ; 11.43 ; - ; 0.18 ; - ; - ; - ; 
000000|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000000|0|2|0 ; - ; 79.05 ; - ; 3.67 ; - ; - ; - ; 17.01 ; - ; 0.26 ; - ; - ; - ; 
000000|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000000|1|1|0 ; - ; - ; - ; 16.92 ; - ; - ; - ; 81.78 ; - ; 1.29 ; - ; - ; - ; 
000000|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000000|1|2|0 ; - ; 0.01 ; - ; 17.55 ; - ; - ; - ; 81.16 ; - ; 1.27 ; - ; - ; - ; 
000000|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000001|0|1|0 ; - ; 36.73 ; 49.37 ; 2.10 ; - ; - ; 0.60 ; 10.62 ; - ; 0.59 ; - ; - ; - ; 
000001|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000001|0|2|0 ; - ; 72.30 ; - ; 4.16 ; - ; - ; 1.18 ; 21.21 ; - ; 1.15 ; - ; - ; - ; 
000001|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000001|1|1|0 ; - ; - ; - ; 15.91 ; - ; - ; - ; 79.73 ; - ; 4.36 ; - ; - ; - ; 
000001|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000001|1|2|0 ; - ; - ; - ; 15.34 ; - ; - ; - ; 80.22 ; - ; 4.44 ; - ; - ; - ; 
000001|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000010|0|1|0 ; - ; 33.29 ; 50.31 ; 1.98 ; - ; - ; 2.47 ; 10.90 ; 0.01 ; 1.05 ; - ; - ; - ; 
000010|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000010|0|2|0 ; - ; 66.68 ; - ; 3.92 ; - ; - ; 4.98 ; 22.25 ; - ; 2.17 ; - ; - ; - ; 
000010|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000010|1|1|0 ; - ; - ; - ; 14.39 ; - ; - ; - ; 77.76 ; 0.07 ; 7.77 ; - ; - ; - ; 
000010|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000010|1|2|0 ; - ; - ; - ; 13.74 ; - ; - ; - ; 78.61 ; - ; 7.66 ; - ; - ; - ; 
000010|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000011|0|1|0 ; 4.55 ; 28.29 ; 46.83 ; 1.67 ; - ; - ; 4.80 ; 10.19 ; - ; 1.42 ; - ; - ; 2.27 ; 
000011|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000011|0|2|0 ; - ; 57.88 ; - ; 3.39 ; - ; - ; 9.95 ; 21.13 ; 0.01 ; 2.96 ; - ; - ; 4.68 ; 
000011|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000011|1|1|0 ; - ; - ; - ; 12.92 ; - ; - ; - ; 76.25 ; 0.04 ; 10.79 ; - ; - ; - ; 
000011|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000011|1|2|0 ; - ; - ; - ; 12.75 ; - ; - ; - ; 76.55 ; - ; 10.70 ; - ; - ; - ; 
000011|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000100|0|1|0 ; 24.65 ; 17.61 ; 30.81 ; 1.04 ; - ; - ; 5.49 ; 6.79 ; 0.00 ; 1.26 ; - ; - ; 12.37 ; 
000100|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000100|0|2|0 ; - ; 39.31 ; - ; 2.15 ; - ; - ; 12.37 ; 15.38 ; - ; 2.86 ; - ; - ; 27.93 ; 
000100|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000100|1|1|0 ; - ; - ; - ; 10.64 ; - ; - ; - ; 75.09 ; 0.19 ; 14.09 ; - ; - ; - ; 
000100|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000100|1|2|0 ; - ; - ; - ; 10.97 ; - ; - ; - ; 74.98 ; 0.26 ; 13.79 ; - ; - ; - ; 
000100|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000101|0|1|0 ; 35.89 ; 11.82 ; 22.06 ; 0.67 ; - ; - ; 5.70 ; 4.86 ; 0.01 ; 1.11 ; - ; - ; 17.88 ; 
000101|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000101|0|2|0 ; - ; 28.18 ; - ; 1.47 ; - ; - ; 13.43 ; 11.51 ; 0.05 ; 2.70 ; - ; - ; 42.66 ; 
000101|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000101|1|1|0 ; - ; - ; - ; 9.90 ; - ; - ; - ; 72.86 ; 0.26 ; 16.99 ; - ; - ; - ; 
000101|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000101|1|2|0 ; - ; - ; - ; 10.05 ; - ; - ; - ; 72.67 ; 0.48 ; 16.80 ; - ; - ; - ; 
000101|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000110|0|1|0 ; 42.24 ; 8.68 ; 16.95 ; 0.45 ; - ; - ; 5.78 ; 3.76 ; 0.04 ; 1.05 ; - ; - ; 21.06 ; 
000110|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000110|0|2|0 ; - ; 21.31 ; - ; 1.13 ; - ; - ; 14.09 ; 9.17 ; 0.09 ; 2.58 ; - ; - ; 51.63 ; 
000110|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000110|1|1|0 ; - ; - ; - ; 8.39 ; - ; - ; - ; 71.07 ; 0.55 ; 19.98 ; - ; - ; - ; 
000110|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000110|1|2|0 ; - ; - ; - ; 8.29 ; - ; - ; - ; 71.18 ; 0.55 ; 19.98 ; - ; - ; - ; 
000110|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000111|0|1|0 ; 46.37 ; 6.74 ; 13.65 ; 0.33 ; - ; - ; 5.78 ; 3.03 ; 0.05 ; 1.00 ; - ; - ; 23.05 ; 
000111|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000111|0|2|0 ; - ; 16.67 ; - ; 0.79 ; - ; - ; 14.41 ; 7.54 ; 0.13 ; 2.46 ; - ; - ; 57.99 ; 
000111|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000111|1|1|0 ; - ; 0.01 ; - ; 7.82 ; - ; - ; - ; 68.17 ; 1.76 ; 22.25 ; - ; - ; - ; 
000111|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
000111|1|2|0 ; - ; - ; - ; 7.42 ; - ; - ; - ; 68.37 ; 1.87 ; 22.33 ; - ; - ; - ; 
000111|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001000|0|1|0 ; 46.57 ; 5.76 ; 11.88 ; 0.26 ; 0.16 ; 0.17 ; 5.59 ; 2.67 ; 0.11 ; 1.01 ; 0.07 ; 2.61 ; 23.15 ; 
001000|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001000|0|2|0 ; - ; 13.84 ; - ; 0.66 ; - ; 0.39 ; 13.46 ; 6.43 ; 0.27 ; 2.45 ; 0.16 ; 6.36 ; 55.97 ; 
001000|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001000|1|1|0 ; - ; - ; - ; 3.85 ; 2.36 ; - ; - ; 38.88 ; 1.48 ; 14.57 ; 0.96 ; 37.89 ; - ; 
001000|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001000|1|2|0 ; - ; - ; - ; 3.85 ; - ; - ; - ; 39.81 ; 1.68 ; 14.95 ; 1.01 ; 38.71 ; - ; 
001000|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001001|0|1|0 ; 44.02 ; 5.11 ; 10.99 ; 0.21 ; 0.45 ; 0.45 ; 5.27 ; 2.46 ; 0.15 ; 1.07 ; 0.19 ; 7.44 ; 22.20 ; 
001001|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001001|0|2|0 ; - ; 11.45 ; - ; 0.49 ; - ; 0.98 ; 11.84 ; 5.56 ; 0.40 ; 2.40 ; 0.42 ; 16.62 ; 49.84 ; 
001001|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001001|1|1|0 ; - ; - ; - ; 1.73 ; 3.74 ; - ; - ; 20.84 ; 1.33 ; 8.95 ; 1.57 ; 61.83 ; - ; 
001001|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001001|1|2|0 ; - ; - ; - ; 1.86 ; - ; - ; - ; 21.51 ; 1.55 ; 9.33 ; 1.62 ; 64.13 ; - ; 
001001|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001010|0|1|0 ; 42.09 ; 4.60 ; 10.13 ; 0.19 ; 0.68 ; 0.68 ; 5.04 ; 2.30 ; 0.23 ; 1.12 ; 0.32 ; 11.62 ; 21.01 ; 
001010|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001010|0|2|0 ; - ; 9.74 ; - ; 0.42 ; - ; 1.50 ; 10.63 ; 4.89 ; 0.54 ; 2.35 ; 0.66 ; 24.63 ; 44.64 ; 
001010|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001010|1|1|0 ; - ; - ; - ; 1.14 ; 4.26 ; - ; - ; 14.03 ; 1.45 ; 6.73 ; 1.93 ; 70.46 ; - ; 
001010|1|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001010|1|2|0 ; - ; - ; - ; 1.15 ; - ; - ; - ; 14.61 ; 1.61 ; 7.03 ; 2.01 ; 73.58 ; - ; 
001010|1|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001011|0|1|0 ; 38.83 ; 4.50 ; 10.11 ; 0.17 ; 1.00 ; 1.01 ; 5.02 ; 2.31 ; 0.38 ; 1.24 ; 0.47 ; 15.62 ; 19.34 ; 
001011|0|1|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
001011|0|2|0 ; - ; 8.99 ; - ; 0.33 ; - ; 2.00 ; 10.04 ; 4.60 ; 0.77 ; 2.50 ; 0.94 ; 30.94 ; 38.89 ; 
001011|0|2|1 ; - ; - ; - ; 100.00 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 
